,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8687499761581421,0.8686867,100,20,200,100,0.001,0.5,0
1,2,0.8481012582778931,0.8686867,100,20,200,100,0.001,0.5,0
2,3,0.8734177350997925,0.8686867,100,20,200,100,0.001,0.5,0
3,4,0.8670886158943176,0.8686867,100,20,200,100,0.001,0.5,0
4,5,0.8860759735107422,0.8686867,100,20,200,100,0.001,0.5,0
