,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.856249988079071,0.8649209,130,10,200,100,0.01,0.8,0.2
1,2,0.8227847814559937,0.8649209,130,10,200,100,0.01,0.8,0.2
2,3,0.8544303774833679,0.8649209,130,10,200,100,0.01,0.8,0.2
3,4,0.905063271522522,0.8649209,130,10,200,100,0.01,0.8,0.2
4,5,0.8860759735107422,0.8649209,130,10,200,100,0.01,0.8,0.2
