,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs,dropout_input,dropout_hidden
0,10201.945602614398,10094.796866581357,100,100,0.001,50,200,0,0
1,9975.223291694118,9976.983802532328,100,100,0.001,50,200,0,0
2,9934.187695125329,9938.9175899111,100,100,0.001,50,200,0,0
3,9913.617924016231,9911.559317753232,100,100,0.001,50,200,0,0
4,9900.292747888716,9910.090508822737,100,100,0.001,50,200,0,0
5,9890.869222044203,9891.219221443966,100,100,0.001,50,200,0,0
6,9883.315410502515,9893.006962217134,100,100,0.001,50,200,0,0
7,9877.96663216489,9881.35539298222,100,100,0.001,50,200,0,0
8,9872.952596243113,9870.01878199084,100,100,0.001,50,200,0,0
9,9868.962053504581,9873.113348599138,100,100,0.001,50,200,0,0
10,9865.128779441931,9867.046150996768,100,100,0.001,50,200,0,0
11,9861.95692175521,9864.423272494612,100,100,0.001,50,200,0,0
12,9859.840747315973,9859.416495487607,100,100,0.001,50,200,0,0
13,9858.184998465202,9853.375345164332,100,100,0.001,50,200,0,0
14,9854.385546126317,9850.204833984375,100,100,0.001,50,200,0,0
15,9853.811444825857,9848.89735149515,100,100,0.001,50,200,0,0
16,9851.488291076455,9845.521097117457,100,100,0.001,50,200,0,0
17,9850.052746073161,9851.36647191541,100,100,0.001,50,200,0,0
18,9848.755619796659,9846.504554485453,100,100,0.001,50,200,0,0
19,9847.003456104756,9844.450700431034,100,100,0.001,50,200,0,0
20,9845.081626961548,9842.273765827047,100,100,0.001,50,200,0,0
21,9845.005113032314,9845.522503030712,100,100,0.001,50,200,0,0
22,9843.56201382442,9845.499654835668,100,100,0.001,50,200,0,0
23,9842.325975813817,9843.764412715518,100,100,0.001,50,200,0,0
24,9841.533173645634,9840.088496767241,100,100,0.001,50,200,0,0
25,9840.127557685973,9838.866690800107,100,100,0.001,50,200,0,0
26,9839.482697951606,9842.995428677263,100,100,0.001,50,200,0,0
27,9838.509842364938,9835.84641870959,100,100,0.001,50,200,0,0
28,9837.802332894107,9832.104475350216,100,100,0.001,50,200,0,0
29,9837.534001875449,9839.324235587284,100,100,0.001,50,200,0,0
30,9836.826849432498,9832.171193089978,100,100,0.001,50,200,0,0
31,9835.993101828282,9832.519388133082,100,100,0.001,50,200,0,0
32,9835.74989331277,9834.95361328125,100,100,0.001,50,200,0,0
33,9834.150737826425,9828.550722319504,100,100,0.001,50,200,0,0
34,9834.74022642025,9831.007122171337,100,100,0.001,50,200,0,0
35,9833.582691026293,9829.213858768857,100,100,0.001,50,200,0,0
36,9833.732500018717,9827.649961274246,100,100,0.001,50,200,0,0
37,9832.276127141231,9829.115848935884,100,100,0.001,50,200,0,0
38,9832.617547803366,9830.466039197197,100,100,0.001,50,200,0,0
39,9832.215548447233,9831.023673221982,100,100,0.001,50,200,0,0
40,9831.067171777671,9829.280542834053,100,100,0.001,50,200,0,0
41,9831.227061309595,9828.857640759697,100,100,0.001,50,200,0,0
42,9829.718911434626,9830.868686018319,100,100,0.001,50,200,0,0
43,9829.407845161266,9825.211897225216,100,100,0.001,50,200,0,0
44,9829.300273081875,9828.144716460129,100,100,0.001,50,200,0,0
45,9828.900432270453,9826.520634092134,100,100,0.001,50,200,0,0
46,9828.31005414845,9826.88405004041,100,100,0.001,50,200,0,0
47,9828.16860934131,9821.711787782866,100,100,0.001,50,200,0,0
48,9826.587712812949,9822.175074084053,100,100,0.001,50,200,0,0
49,9826.739577874192,9822.323250606143,100,100,0.001,50,200,0,0
50,9827.035795905456,9821.761811355065,100,100,0.001,50,200,0,0
51,9826.285276975024,9821.317088160022,100,100,0.001,50,200,0,0
52,9826.85837457325,9823.902040678879,100,100,0.001,50,200,0,0
53,9826.31090390288,9824.240326980065,100,100,0.001,50,200,0,0
54,9824.93087088599,9818.483541554418,100,100,0.001,50,200,0,0
55,9825.25394321619,9821.205760035022,100,100,0.001,50,200,0,0
56,9824.400827200378,9823.226032125538,100,100,0.001,50,200,0,0
57,9824.076633250479,9820.540889345366,100,100,0.001,50,200,0,0
58,9824.118151896413,9819.712873787716,100,100,0.001,50,200,0,0
59,9823.732796684086,9817.749233903556,100,100,0.001,50,200,0,0
60,9823.421825399797,9818.700969827587,100,100,0.001,50,200,0,0
61,9823.47370393732,9817.687137998384,100,100,0.001,50,200,0,0
62,9823.424430814266,9817.836063779634,100,100,0.001,50,200,0,0
63,9822.505197259074,9820.71082805765,100,100,0.001,50,200,0,0
64,9822.17420761335,9818.72337183459,100,100,0.001,50,200,0,0
65,9821.749300449957,9815.206669248384,100,100,0.001,50,200,0,0
66,9821.290932334092,9816.182196255388,100,100,0.001,50,200,0,0
67,9821.579253638596,9817.747213429418,100,100,0.001,50,200,0,0
68,9820.562217840352,9818.560429014009,100,100,0.001,50,200,0,0
69,9820.47961197667,9816.661040207435,100,100,0.001,50,200,0,0
70,9821.223450321184,9815.857480805496,100,100,0.001,50,200,0,0
71,9820.459567879283,9819.307608768857,100,100,0.001,50,200,0,0
72,9819.946924974545,9817.805201037178,100,100,0.001,50,200,0,0
73,9820.476746395094,9816.587276064116,100,100,0.001,50,200,0,0
74,9819.946814543902,9817.309452451509,100,100,0.001,50,200,0,0
75,9819.104622271054,9815.289028825431,100,100,0.001,50,200,0,0
76,9818.925083103737,9815.6490352236,100,100,0.001,50,200,0,0
77,9819.128773358889,9814.634184738685,100,100,0.001,50,200,0,0
78,9818.905100304713,9815.312971443966,100,100,0.001,50,200,0,0
79,9818.5786982099,9815.502752896013,100,100,0.001,50,200,0,0
80,9818.976021577024,9812.773083917025,100,100,0.001,50,200,0,0
81,9818.45035487542,9814.124368601832,100,100,0.001,50,200,0,0
82,9818.31796912434,9817.150920999462,100,100,0.001,50,200,0,0
83,9817.744594981583,9814.281123720366,100,100,0.001,50,200,0,0
84,9818.138874487153,9814.858802532328,100,100,0.001,50,200,0,0
85,9818.388305020664,9812.786705280172,100,100,0.001,50,200,0,0
86,9816.91908101117,9811.353835533406,100,100,0.001,50,200,0,0
87,9817.404595412076,9813.183374865303,100,100,0.001,50,200,0,0
88,9816.308552572473,9811.352454876078,100,100,0.001,50,200,0,0
89,9817.140711098467,9813.9150390625,100,100,0.001,50,200,0,0
90,9817.818971422796,9813.444866311962,100,100,0.001,50,200,0,0
91,9816.998069803396,9811.45132341056,100,100,0.001,50,200,0,0
92,9816.509459601102,9814.438122979525,100,100,0.001,50,200,0,0
93,9816.455008871886,9815.003300107759,100,100,0.001,50,200,0,0
94,9816.005301606672,9812.702939789871,100,100,0.001,50,200,0,0
95,9815.445028468645,9813.605914938038,100,100,0.001,50,200,0,0
96,9815.5307741188,9812.795831088362,100,100,0.001,50,200,0,0
97,9815.844859921539,9812.807002626616,100,100,0.001,50,200,0,0
98,9815.392834548695,9811.78947501347,100,100,0.001,50,200,0,0
99,9814.270588295849,9810.036823141163,100,100,0.001,50,200,0,0
100,9814.673156650546,9810.997465988685,100,100,0.001,50,200,0,0
101,9814.619611826934,9810.092116783406,100,100,0.001,50,200,0,0
102,9814.905885953222,9811.167530980603,100,100,0.001,50,200,0,0
103,9814.468408881618,9810.9208984375,100,100,0.001,50,200,0,0
104,9814.773660700916,9810.358002761315,100,100,0.001,50,200,0,0
105,9814.36632557948,9812.891306910022,100,100,0.001,50,200,0,0
106,9814.322530939296,9808.616665544181,100,100,0.001,50,200,0,0
107,9813.944992438308,9810.236866918103,100,100,0.001,50,200,0,0
108,9813.694941902251,9809.022629310344,100,100,0.001,50,200,0,0
109,9813.939298709272,9811.677523908944,100,100,0.001,50,200,0,0
110,9813.833860842416,9808.100165005388,100,100,0.001,50,200,0,0
111,9813.342596561302,9808.92578125,100,100,0.001,50,200,0,0
112,9813.38744871526,9808.077249461207,100,100,0.001,50,200,0,0
113,9813.340961626287,9809.81828360722,100,100,0.001,50,200,0,0
114,9813.831300816812,9809.550697063578,100,100,0.001,50,200,0,0
115,9812.718613833404,9809.00968985722,100,100,0.001,50,200,0,0
116,9813.688751235326,9808.033598801185,100,100,0.001,50,200,0,0
117,9812.215219962865,9810.516584725216,100,100,0.001,50,200,0,0
118,9813.244113953193,9809.650003367457,100,100,0.001,50,200,0,0
119,9812.748595752726,9808.29965315194,100,100,0.001,50,200,0,0
120,9813.196459387727,9809.78211712015,100,100,0.001,50,200,0,0
121,9812.982872020244,9809.634849811422,100,100,0.001,50,200,0,0
122,9812.875125872215,9809.806084994612,100,100,0.001,50,200,0,0
123,9812.544826418005,9808.585617591594,100,100,0.001,50,200,0,0
124,9812.062963247185,9806.888099407328,100,100,0.001,50,200,0,0
125,9812.288510346789,9807.846258755388,100,100,0.001,50,200,0,0
126,9812.436919303276,9808.991446659482,100,100,0.001,50,200,0,0
127,9811.476619119101,9806.650845231681,100,100,0.001,50,200,0,0
128,9811.811390546389,9807.24185075431,100,100,0.001,50,200,0,0
129,9811.113686006378,9808.905736462822,100,100,0.001,50,200,0,0
130,9811.689798922645,9809.600990032328,100,100,0.001,50,200,0,0
131,9811.711227614398,9806.487666689116,100,100,0.001,50,200,0,0
132,9811.204743557588,9808.949462890625,100,100,0.001,50,200,0,0
133,9811.801129387279,9806.78091325431,100,100,0.001,50,200,0,0
134,9811.776025133266,9809.766332165947,100,100,0.001,50,200,0,0
135,9810.961943541866,9807.640919652478,100,100,0.001,50,200,0,0
136,9811.141638996616,9805.854088092672,100,100,0.001,50,200,0,0
137,9810.605661067772,9806.432154162178,100,100,0.001,50,200,0,0
138,9810.293187739579,9807.359324488147,100,100,0.001,50,200,0,0
139,9810.812419984577,9806.946718413254,100,100,0.001,50,200,0,0
140,9809.79989546523,9806.476461476293,100,100,0.001,50,200,0,0
141,9811.596390976882,9805.508603852371,100,100,0.001,50,200,0,0
142,9810.21733592627,9805.850417564656,100,100,0.001,50,200,0,0
143,9810.971485498023,9806.563602842134,100,100,0.001,50,200,0,0
144,9810.318138981642,9806.635910560344,100,100,0.001,50,200,0,0
145,9810.520797458972,9808.118568157328,100,100,0.001,50,200,0,0
146,9810.554249052917,9807.957570043103,100,100,0.001,50,200,0,0
147,9810.586310905306,9805.638343547953,100,100,0.001,50,200,0,0
148,9809.32852180163,9807.849962957975,100,100,0.001,50,200,0,0
149,9810.654667472749,9806.826188712284,100,100,0.001,50,200,0,0
150,9809.370203285967,9807.955137055496,100,100,0.001,50,200,0,0
151,9810.065044584033,9807.798289331897,100,100,0.001,50,200,0,0
152,9809.9302925289,9806.578007139009,100,100,0.001,50,200,0,0
153,9809.676539758775,9806.223565463362,100,100,0.001,50,200,0,0
154,9810.031344521143,9808.928197400322,100,100,0.001,50,200,0,0
155,9809.861409076275,9803.796866581357,100,100,0.001,50,200,0,0
156,9809.61329575572,9805.949664938038,100,100,0.001,50,200,0,0
157,9809.136455307409,9805.926219019397,100,100,0.001,50,200,0,0
158,9810.121046021502,9805.79939217403,100,100,0.001,50,200,0,0
159,9808.980304507817,9804.85667261584,100,100,0.001,50,200,0,0
160,9809.141527630121,9805.82316641972,100,100,0.001,50,200,0,0
161,9809.576784390722,9806.178197400322,100,100,0.001,50,200,0,0
162,9809.372636503504,9807.036461139547,100,100,0.001,50,200,0,0
163,9809.057170785667,9805.365268049569,100,100,0.001,50,200,0,0
164,9808.96959460724,9804.093926791487,100,100,0.001,50,200,0,0
165,9808.877475798845,9806.396113954741,100,100,0.001,50,200,0,0
166,9808.775297975562,9803.159322804418,100,100,0.001,50,200,0,0
167,9808.566710402192,9806.09852337015,100,100,0.001,50,200,0,0
