,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs,dropout_input,dropout_hidden
0,10210.167274815076,10622.90756330819,100,20,0.01,150,200,0,0
1,9960.779128889404,9998.866724474678,100,20,0.01,150,200,0,0
2,9919.604035959212,10006.258603852371,100,20,0.01,150,200,0,0
3,9900.73915767624,9941.212705414871,100,20,0.01,150,200,0,0
4,9890.201800768147,9924.631297144397,100,20,0.01,150,200,0,0
5,9880.829789414382,9918.71841325431,100,20,0.01,150,200,0,0
6,9876.80833405082,9911.067542766703,100,20,0.01,150,200,0,0
7,9871.67126622769,9912.158632475754,100,20,0.01,150,200,0,0
8,9868.689350649107,9887.816684065194,100,20,0.01,150,200,0,0
9,9866.201328162435,9904.788372171337,100,20,0.01,150,200,0,0
10,9863.943607843945,9895.55510001347,100,20,0.01,150,200,0,0
11,9863.813680578432,9885.847370016163,100,20,0.01,150,200,0,0
12,9860.731555743143,9883.352017106681,100,20,0.01,150,200,0,0
13,9860.524259646772,9896.512249124462,100,20,0.01,150,200,0,0
14,9858.796924600203,9888.091064453125,100,20,0.01,150,200,0,0
15,9858.285208189836,9880.167867726293,100,20,0.01,150,200,0,0
16,9854.839429635093,9882.676084321121,100,20,0.01,150,200,0,0
17,9855.096053133984,9890.821120689656,100,20,0.01,150,200,0,0
18,9853.630281953761,9873.477000269397,100,20,0.01,150,200,0,0
19,9851.443827769375,9876.849053744612,100,20,0.01,150,200,0,0
20,9850.614299457953,9877.1751835264,100,20,0.01,150,200,0,0
21,9850.8122257951,9869.312937769397,100,20,0.01,150,200,0,0
22,9849.172835185074,9873.170064991918,100,20,0.01,150,200,0,0
23,9849.121709541207,9872.42953596444,100,20,0.01,150,200,0,0
24,9849.84643309026,9871.31321558459,100,20,0.01,150,200,0,0
25,9847.408630341848,9871.966704269935,100,20,0.01,150,200,0,0
26,9848.290651110296,9872.187542093212,100,20,0.01,150,200,0,0
27,9845.767076507846,9865.95443830819,100,20,0.01,150,200,0,0
28,9845.09374719244,9863.926244275322,100,20,0.01,150,200,0,0
29,9845.420562934236,9869.875370420259,100,20,0.01,150,200,0,0
30,9844.455094502426,9867.094583445582,100,20,0.01,150,200,0,0
31,9842.8137348579,9864.252205684268,100,20,0.01,150,200,0,0
32,9843.169631292674,9876.082847858297,100,20,0.01,150,200,0,0
33,9843.538296036475,9867.878140153556,100,20,0.01,150,200,0,0
34,9842.61130426075,9861.143672548491,100,20,0.01,150,200,0,0
35,9842.183079966759,9873.049038591056,100,20,0.01,150,200,0,0
36,9842.78702374446,9866.124545393319,100,20,0.01,150,200,0,0
37,9842.452979006948,9876.132770406788,100,20,0.01,150,200,0,0
38,9842.682575542047,9856.469995959053,100,20,0.01,150,200,0,0
