,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate
0,1,0.824999988079071,0.8700633,300,100,50,100,0.001
1,2,0.8481012582778931,0.8700633,300,100,50,100,0.001
2,3,0.9113923907279968,0.8700633,300,100,50,100,0.001
3,4,0.9113923907279968,0.8700633,300,100,50,100,0.001
4,5,0.8544303774833679,0.8700633,300,100,50,100,0.001
