,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_cvae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.800000011920929,0.8118987,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8797468543052673,0.8118987,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.8227847814559937,0.8118987,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.8227847814559937,0.8118987,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.7341772317886353,0.8118987,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
