,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_cvae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.831250011920929,0.7814399,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,mse
1,2,0.6708860993385315,0.7814399,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,mse
2,3,0.753164529800415,0.7814399,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,mse
3,4,0.797468364238739,0.7814399,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,mse
4,5,0.8544303774833679,0.7814399,100,20,200,100,0.01,0.4,0.8,True,False,False,categorical_crossentropy,mse
