,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,10315.140347519615,10280.50063981681,300,100,0.001,150,75
1,9993.3315871878,9977.256600215518,300,100,0.001,150,75
2,9944.89522846041,9942.348094019397,300,100,0.001,150,75
3,9915.952329525036,9917.906612001616,300,100,0.001,150,75
4,9897.415777918364,9905.047001279634,300,100,0.001,150,75
5,9884.234648269046,9884.157841123384,300,100,0.001,150,75
6,9875.978432334092,9880.239527209053,300,100,0.001,150,75
7,9868.98440541522,9873.33409381735,300,100,0.001,150,75
8,9862.111767040009,9862.905568089978,300,100,0.001,150,75
9,9858.452470370898,9861.772780845906,300,100,0.001,150,75
10,9854.588868123354,9863.156755118534,300,100,0.001,150,75
11,9850.968481410218,9856.655702788254,300,100,0.001,150,75
12,9847.637703735176,9855.239072602371,300,100,0.001,150,75
13,9844.970123832056,9849.695017847522,300,100,0.001,150,75
14,9843.185372338434,9843.455238079203,300,100,0.001,150,75
15,9840.413538422377,9853.075447871768,300,100,0.001,150,75
16,9838.59912553905,9842.884437297953,300,100,0.001,150,75
17,9836.472980055103,9841.51479997306,300,100,0.001,150,75
18,9835.351659360775,9840.023429081357,300,100,0.001,150,75
19,9833.851749202653,9839.348868534482,300,100,0.001,150,75
20,9832.098245837326,9835.526392443428,300,100,0.001,150,75
21,9831.510745930911,9834.20571794181,300,100,0.001,150,75
22,9828.668595303516,9832.444251751078,300,100,0.001,150,75
23,9827.854042042256,9833.441010573815,300,100,0.001,150,75
24,9827.150791170041,9830.132745150862,300,100,0.001,150,75
25,9825.619943118862,9829.562466325431,300,100,0.001,150,75
26,9824.601091298066,9828.629672346444,300,100,0.001,150,75
27,9823.073613253175,9827.97720231681,300,100,0.001,150,75
28,9822.655557000928,9824.889505320582,300,100,0.001,150,75
29,9821.496002036416,9825.066902949893,300,100,0.001,150,75
30,9820.286734565914,9821.985183189656,300,100,0.001,150,75
31,9819.54717026159,9823.188459725216,300,100,0.001,150,75
32,9818.424808430911,9827.736454404634,300,100,0.001,150,75
33,9818.043539620268,9822.631600215518,300,100,0.001,150,75
34,9816.958855695226,9828.655408135775,300,100,0.001,150,75
35,9816.688061043813,9822.679552801725,300,100,0.001,150,75
36,9814.808669554084,9822.532495959053,300,100,0.001,150,75
37,9815.711892537884,9820.558358028018,300,100,0.001,150,75
38,9814.39905422706,9816.524877087822,300,100,0.001,150,75
39,9812.830983094753,9819.31617894666,300,100,0.001,150,75
40,9811.882870522879,9815.744881465518,300,100,0.001,150,75
41,9811.747468049982,9818.941322063578,300,100,0.001,150,75
42,9811.10030518163,9818.419517780172,300,100,0.001,150,75
43,9810.520706213314,9816.140103044181,300,100,0.001,150,75
44,9810.130549139763,9814.427128232759,300,100,0.001,150,75
45,9809.457122963584,9816.448587351832,300,100,0.001,150,75
46,9809.648966724815,9813.802970096982,300,100,0.001,150,75
47,9808.214484382486,9814.438720703125,300,100,0.001,150,75
48,9807.646902233319,9813.173954404634,300,100,0.001,150,75
49,9807.910312069507,9815.217630320582,300,100,0.001,150,75
50,9806.944534806242,9814.812634698275,300,100,0.001,150,75
51,9806.033768380152,9812.446095433728,300,100,0.001,150,75
52,9805.873842817891,9813.506415005388,300,100,0.001,150,75
53,9804.970846310494,9813.157024515087,300,100,0.001,150,75
54,9804.456319065945,9812.059056775322,300,100,0.001,150,75
55,9804.699133587386,9810.84130859375,300,100,0.001,150,75
56,9803.961225742692,9811.620916958513,300,100,0.001,150,75
57,9803.610615005091,9811.245815934806,300,100,0.001,150,75
58,9802.70352180163,9811.725703798491,300,100,0.001,150,75
59,9802.745305761859,9809.451138200431,300,100,0.001,150,75
60,9803.16817557349,9808.70485082166,300,100,0.001,150,75
61,9801.18913025575,9810.628510573815,300,100,0.001,150,75
62,9801.44639060254,9806.246876683728,300,100,0.001,150,75
63,9800.950247720262,9810.054712755928,300,100,0.001,150,75
64,9799.97241760751,9808.36970467403,300,100,0.001,150,75
65,9800.220158926539,9809.076592807112,300,100,0.001,150,75
66,9799.841029943549,9807.550764412716,300,100,0.001,150,75
67,9800.062555215321,9805.061826508621,300,100,0.001,150,75
68,9798.476486227988,9804.064587823275,300,100,0.001,150,75
69,9798.393979096789,9806.079993938578,300,100,0.001,150,75
70,9798.569419228408,9805.330995757004,300,100,0.001,150,75
71,9797.906875149736,9807.974895608837,300,100,0.001,150,75
72,9798.055530703461,9806.339793238147,300,100,0.001,150,75
73,9797.808292405367,9803.51138200431,300,100,0.001,150,75
74,9797.640740577834,9804.590862405712,300,100,0.001,150,75
