,Fold,Accuracy,mean_accuracy
0,1.0,0.8787878787878788,0.8799776910206358
1,2.0,0.8834355828220859,0.8799776910206358
2,3.0,0.8711656441717791,0.8799776910206358
3,4.0,0.8957055214723927,0.8799776910206358
4,5.0,0.8588957055214724,0.8799776910206358
5,1.0,0.896969696969697,0.8799776910206358
6,2.0,0.8588957055214724,0.8799776910206358
7,3.0,0.8957055214723927,0.8799776910206358
8,4.0,0.8650306748466258,0.8799776910206358
9,5.0,0.8650306748466258,0.8799776910206358
10,1.0,0.8121212121212121,0.8799776910206358
11,2.0,0.9141104294478528,0.8799776910206358
12,3.0,0.8588957055214724,0.8799776910206358
13,4.0,0.9079754601226994,0.8799776910206358
14,5.0,0.901840490797546,0.8799776910206358
15,1.0,0.8727272727272727,0.8799776910206358
16,2.0,0.901840490797546,0.8799776910206358
17,3.0,0.8957055214723927,0.8799776910206358
18,4.0,0.852760736196319,0.8799776910206358
19,5.0,0.8650306748466258,0.8799776910206358
20,1.0,0.9090909090909091,0.8799776910206358
21,2.0,0.8711656441717791,0.8799776910206358
22,3.0,0.901840490797546,0.8799776910206358
23,4.0,0.8773006134969326,0.8799776910206358
24,5.0,0.8404907975460123,0.8799776910206358
