,Fold,Accuracy,mean_accuracy
0,1.0,0.8787878787878788,0.8789886596021566
1,2.0,0.8834355828220859,0.8789886596021566
2,3.0,0.8711656441717791,0.8789886596021566
3,4.0,0.8957055214723927,0.8789886596021566
4,5.0,0.8588957055214724,0.8789886596021566
5,1.0,0.896969696969697,0.8789886596021566
6,2.0,0.8588957055214724,0.8789886596021566
7,3.0,0.8957055214723927,0.8789886596021566
8,4.0,0.8650306748466258,0.8789886596021566
9,5.0,0.8650306748466258,0.8789886596021566
10,1.0,0.8121212121212121,0.8789886596021566
11,2.0,0.9141104294478528,0.8789886596021566
12,3.0,0.8588957055214724,0.8789886596021566
13,4.0,0.9079754601226994,0.8789886596021566
14,5.0,0.901840490797546,0.8789886596021566
