,Fold,Accuracy,mean_accuracy
0,1.0,0.8787878787878788,0.8776129392080312
1,2.0,0.8834355828220859,0.8776129392080312
2,3.0,0.8711656441717791,0.8776129392080312
3,4.0,0.8957055214723927,0.8776129392080312
4,5.0,0.8588957055214724,0.8776129392080312
5,1.0,0.896969696969697,0.8776129392080312
6,2.0,0.8588957055214724,0.8776129392080312
7,3.0,0.8957055214723927,0.8776129392080312
8,4.0,0.8650306748466258,0.8776129392080312
9,5.0,0.8650306748466258,0.8776129392080312
10,1.0,0.8121212121212121,0.8776129392080312
11,2.0,0.9141104294478528,0.8776129392080312
12,3.0,0.8588957055214724,0.8776129392080312
13,4.0,0.9079754601226994,0.8776129392080312
14,5.0,0.901840490797546,0.8776129392080312
15,1.0,0.8727272727272727,0.8776129392080312
16,2.0,0.901840490797546,0.8776129392080312
17,3.0,0.8957055214723927,0.8776129392080312
18,4.0,0.852760736196319,0.8776129392080312
19,5.0,0.8650306748466258,0.8776129392080312
