,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.84375,0.81938285,100,20,200,100,0.01,0,0
1,2,0.746835470199585,0.81938285,100,20,200,100,0.01,0,0
2,3,0.8291139006614685,0.81938285,100,20,200,100,0.01,0,0
3,4,0.8417721390724182,0.81938285,100,20,200,100,0.01,0,0
4,5,0.8354430198669434,0.81938285,100,20,200,100,0.01,0,0
