,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder
0,1,0.824999988079071,0.8333545,100,20,200,100,0.01,0.8,0.5,True
1,2,0.797468364238739,0.8333545,100,20,200,100,0.01,0.8,0.5,True
2,3,0.8354430198669434,0.8333545,100,20,200,100,0.01,0.8,0.5,True
3,4,0.8607594966888428,0.8333545,100,20,200,100,0.01,0.8,0.5,True
4,5,0.8481012582778931,0.8333545,100,20,200,100,0.01,0.8,0.5,True
