,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder
0,1,0.824999988079071,0.8472785,100,20,200,100,0.01,0.8,0.2,True
1,2,0.7341772317886353,0.8472785,100,20,200,100,0.01,0.8,0.2,True
2,3,0.8797468543052673,0.8472785,100,20,200,100,0.01,0.8,0.2,True
3,4,0.905063271522522,0.8472785,100,20,200,100,0.01,0.8,0.2,True
4,5,0.892405092716217,0.8472785,100,20,200,100,0.01,0.8,0.2,True
