,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,classifier_loss
0,1,0.8500000238418579,0.85227853,100,20,200,100,0.01,0.5,0.2,True,categorical_crossentropy
1,2,0.8101266026496887,0.85227853,100,20,200,100,0.01,0.5,0.2,True,categorical_crossentropy
2,3,0.8607594966888428,0.85227853,100,20,200,100,0.01,0.5,0.2,True,categorical_crossentropy
3,4,0.905063271522522,0.85227853,100,20,200,100,0.01,0.5,0.2,True,categorical_crossentropy
4,5,0.8354430198669434,0.85227853,100,20,200,100,0.01,0.5,0.2,True,categorical_crossentropy
