,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss
0,1,0.856249988079071,0.8864399,100,20,200,100,0.01,0.5,0.2,True,False,False,categorical_crossentropy
1,2,0.8291139006614685,0.8864399,100,20,200,100,0.01,0.5,0.2,True,False,False,categorical_crossentropy
2,3,0.9113923907279968,0.8864399,100,20,200,100,0.01,0.5,0.2,True,False,False,categorical_crossentropy
3,4,0.9430379867553711,0.8864399,100,20,200,100,0.01,0.5,0.2,True,False,False,categorical_crossentropy
4,5,0.892405092716217,0.8864399,100,20,200,100,0.01,0.5,0.2,True,False,False,categorical_crossentropy
