,val_loss,loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,10704.043137122844,10484.984426939836,100,100,0.001,200,75
1,10101.985250538793,9995.696666211219,100,100,0.001,200,75
2,9965.83529768319,9939.136714538661,100,100,0.001,200,75
3,9952.375673491379,9908.501430451155,100,100,0.001,200,75
4,9969.470568426725,9887.214660790758,100,100,0.001,200,75
5,9939.555293642241,9872.072086409169,100,100,0.001,200,75
6,9943.690261314656,9861.273218510421,100,100,0.001,200,75
7,9926.84146012931,9852.404214987871,100,100,0.001,200,75
8,9906.230435075431,9845.878756981463,100,100,0.001,200,75
9,9885.218952047413,9840.03124064147,100,100,0.001,200,75
10,9896.563072467672,9835.825235554175,100,100,0.001,200,75
11,9873.657630657328,9832.617523939118,100,100,0.001,200,75
12,9852.503535829741,9829.621507396982,100,100,0.001,200,75
13,9871.764042295259,9826.670977049143,100,100,0.001,200,75
14,9862.561691810344,9824.685917940675,100,100,0.001,200,75
15,9862.962082435344,9821.674287628774,100,100,0.001,200,75
16,9842.979694234913,9819.530935553426,100,100,0.001,200,75
17,9851.448006465518,9817.901960518238,100,100,0.001,200,75
18,9837.149212015087,9815.676782144676,100,100,0.001,200,75
19,9833.937129579741,9814.826585989907,100,100,0.001,200,75
20,9830.192450161638,9813.264365341998,100,100,0.001,200,75
21,9836.086712015087,9811.131952919113,100,100,0.001,200,75
22,9829.665779903018,9810.230014393417,100,100,0.001,200,75
23,9839.947063577587,9808.69401961922,100,100,0.001,200,75
24,9832.237473060344,9807.108031583164,100,100,0.001,200,75
25,9835.204640355603,9805.390044771202,100,100,0.001,200,75
26,9823.66274919181,9803.864022445496,100,100,0.001,200,75
27,9835.828057650862,9803.242739653211,100,100,0.001,200,75
28,9824.03061018319,9801.74231805148,100,100,0.001,200,75
29,9825.086880387931,9800.130369456007,100,100,0.001,200,75
30,9819.874191810344,9798.420611598587,100,100,0.001,200,75
31,9819.428508890087,9797.34531708568,100,100,0.001,200,75
32,9825.596848060344,9796.143810175341,100,100,0.001,200,75
33,9815.790611530172,9794.77380388641,100,100,0.001,200,75
34,9806.859071928879,9793.900415893027,100,100,0.001,200,75
35,9808.968211206897,9792.17861875599,100,100,0.001,200,75
36,9810.131263469828,9789.818019192471,100,100,0.001,200,75
37,9808.452114762931,9789.287224952834,100,100,0.001,200,75
38,9816.429754849138,9787.489862373473,100,100,0.001,200,75
39,9808.311826508621,9786.529838265902,100,100,0.001,200,75
40,9809.674063846982,9785.297020993052,100,100,0.001,200,75
41,9802.401333512931,9783.921304597658,100,100,0.001,200,75
42,9796.159550107759,9782.55574314207,100,100,0.001,200,75
43,9796.872743803879,9781.421236748323,100,100,0.001,200,75
44,9797.865099676725,9780.220973118561,100,100,0.001,200,75
45,9794.146282327587,9778.907687470053,100,100,0.001,200,75
46,9794.012830010775,9778.19933339198,100,100,0.001,200,75
47,9792.188240840518,9777.601154936063,100,100,0.001,200,75
48,9793.8486328125,9776.46386859128,100,100,0.001,200,75
49,9796.661806303879,9775.865738331786,100,100,0.001,200,75
50,9791.425040409482,9774.725765621257,100,100,0.001,200,75
51,9792.218345905172,9773.816890553875,100,100,0.001,200,75
52,9788.237035290947,9772.849526552018,100,100,0.001,200,75
53,9793.890591325431,9772.55732988066,100,100,0.001,200,75
54,9789.368366109913,9773.340994849066,100,100,0.001,200,75
55,9784.505792025862,9770.18828284095,100,100,0.001,200,75
56,9784.198646282328,9770.129523444986,100,100,0.001,200,75
57,9786.491412984913,9769.454941958404,100,100,0.001,200,75
58,9782.674973060344,9769.730158514763,100,100,0.001,200,75
59,9784.619881465518,9768.232346070916,100,100,0.001,200,75
60,9786.521787446121,9767.580379001707,100,100,0.001,200,75
61,9781.857792295259,9767.319094019525,100,100,0.001,200,75
62,9779.462856950431,9767.049229137967,100,100,0.001,200,75
63,9780.122844827587,9765.81507125584,100,100,0.001,200,75
64,9785.698107489225,9766.229052336637,100,100,0.001,200,75
65,9781.560109105603,9765.818911996137,100,100,0.001,200,75
66,9778.913523706897,9765.81894989818,100,100,0.001,200,75
67,9783.799131196121,9764.59057371526,100,100,0.001,200,75
68,9778.537479795259,9763.982746615957,100,100,0.001,200,75
69,9779.601427801725,9763.779871020753,100,100,0.001,200,75
70,9780.49868669181,9764.184290024557,100,100,0.001,200,75
71,9780.789500269397,9763.606872061422,100,100,0.001,200,75
72,9776.13149919181,9763.613223227121,100,100,0.001,200,75
73,9774.759226831897,9762.82154361449,100,100,0.001,200,75
74,9780.733432112069,9762.5890936639,100,100,0.001,200,75
