Index,C,Accuracy,Fold,Score
,0.001,,1.0,0.1161524500907441
,0.001,,2.0,0.1161524500907441
,0.001,,3.0,0.11475409836065574
,0.001,,4.0,0.11475409836065574
,0.001,,5.0,0.11496350364963503
,0.01,,1.0,0.5843920145190563
,0.01,,2.0,0.5825771324863884
,0.01,,3.0,0.5883424408014571
,0.01,,4.0,0.5865209471766849
,0.01,,5.0,0.5875912408759124
,0.1,,1.0,0.9038112522686026
,0.1,,2.0,0.9092558983666061
,0.1,,3.0,0.9034608378870674
,0.1,,4.0,0.9198542805100182
,0.1,,5.0,0.9288321167883211
,1.0,,1.0,0.925589836660617
,1.0,,2.0,0.9274047186932849
,1.0,,3.0,0.9216757741347905
,1.0,,4.0,0.9344262295081968
,1.0,,5.0,0.9324817518248175
,10.0,,1.0,0.9237749546279492
,10.0,,2.0,0.925589836660617
,10.0,,3.0,0.9162112932604736
,10.0,,4.0,0.9271402550091075
,10.0,,5.0,0.927007299270073
,100.0,,1.0,0.9183303085299456
,100.0,,2.0,0.9183303085299456
,100.0,,3.0,0.9216757741347905
,100.0,,4.0,0.9216757741347905
,100.0,,5.0,0.9197080291970803
,1000.0,,1.0,0.9165154264972777
,1000.0,,2.0,0.9165154264972777
,1000.0,,3.0,0.9089253187613844
,1000.0,,4.0,0.912568306010929
,1000.0,,5.0,0.916058394160584
,10000.0,,1.0,0.9147005444646098
,10000.0,,2.0,0.9165154264972777
,10000.0,,3.0,0.9089253187613844
,10000.0,,4.0,0.907103825136612
,10000.0,,5.0,0.9197080291970803
