Index,C,Accuracy,Fold,Score
,0.001,,1.0,0.175
,0.001,,2.0,0.17088607594936708
,0.001,,3.0,0.17088607594936708
,0.001,,4.0,0.17088607594936708
,0.001,,5.0,0.17088607594936708
,0.01,,1.0,0.51875
,0.01,,2.0,0.5316455696202531
,0.01,,3.0,0.5253164556962026
,0.01,,4.0,0.5253164556962026
,0.01,,5.0,0.5253164556962026
,0.1,,1.0,0.80625
,0.1,,2.0,0.7784810126582279
,0.1,,3.0,0.8734177215189873
,0.1,,4.0,0.8670886075949367
,0.1,,5.0,0.8291139240506329
,1.0,,1.0,0.85625
,1.0,,2.0,0.8607594936708861
,1.0,,3.0,0.8987341772151899
,1.0,,4.0,0.9240506329113924
,1.0,,5.0,0.8860759493670886
,10.0,,1.0,0.86875
,10.0,,2.0,0.8987341772151899
,10.0,,3.0,0.8924050632911392
,10.0,,4.0,0.9177215189873418
,10.0,,5.0,0.8860759493670886
,100.0,,1.0,0.88125
,100.0,,2.0,0.8670886075949367
,100.0,,3.0,0.9050632911392406
,100.0,,4.0,0.8987341772151899
,100.0,,5.0,0.8924050632911392
,1000.0,,1.0,0.8625
,1000.0,,2.0,0.8670886075949367
,1000.0,,3.0,0.9113924050632911
,1000.0,,4.0,0.9050632911392406
,1000.0,,5.0,0.8860759493670886
,10000.0,,1.0,0.83125
,10000.0,,2.0,0.8354430379746836
,10000.0,,3.0,0.9113924050632911
,10000.0,,4.0,0.8860759493670886
,10000.0,,5.0,0.9050632911392406
