Index,C,Accuracy,Fold,Score
,0.001,,1.0,0.1161524500907441
,0.001,,2.0,0.1161524500907441
,0.001,,3.0,0.11475409836065574
,0.001,,4.0,0.11475409836065574
,0.001,,5.0,0.11496350364963503
,0.01,,1.0,0.5898366606170599
,0.01,,2.0,0.5843920145190563
,0.01,,3.0,0.5828779599271403
,0.01,,4.0,0.5828779599271403
,0.01,,5.0,0.5875912408759124
,0.1,,1.0,0.9128856624319419
,0.1,,2.0,0.9074410163339383
,0.1,,3.0,0.907103825136612
,0.1,,4.0,0.9162112932604736
,0.1,,5.0,0.927007299270073
,1.0,,1.0,0.9165154264972777
,1.0,,2.0,0.9165154264972777
,1.0,,3.0,0.912568306010929
,1.0,,4.0,0.9344262295081968
,1.0,,5.0,0.9361313868613139
,10.0,,1.0,0.9165154264972777
,10.0,,2.0,0.9183303085299456
,10.0,,3.0,0.907103825136612
,10.0,,4.0,0.9289617486338798
,10.0,,5.0,0.916058394160584
,100.0,,1.0,0.911070780399274
,100.0,,2.0,0.9074410163339383
,100.0,,3.0,0.9034608378870674
,100.0,,4.0,0.9162112932604736
,100.0,,5.0,0.9288321167883211
,1000.0,,1.0,0.9019963702359347
,1000.0,,2.0,0.9128856624319419
,1000.0,,3.0,0.8961748633879781
,1000.0,,4.0,0.9052823315118397
,1000.0,,5.0,0.9014598540145985
,10000.0,,1.0,0.8838475499092558
,10000.0,,2.0,0.8929219600725953
,10000.0,,3.0,0.8706739526411658
,10000.0,,4.0,0.8852459016393442
,10000.0,,5.0,0.8868613138686131
