Index,C,Accuracy,Fold,Score
,0.001,,1.0,0.1161524500907441
,0.001,,2.0,0.1161524500907441
,0.001,,3.0,0.11475409836065574
,0.001,,4.0,0.11475409836065574
,0.001,,5.0,0.11496350364963503
,0.01,,1.0,0.5825771324863884
,0.01,,2.0,0.5807622504537205
,0.01,,3.0,0.5846994535519126
,0.01,,4.0,0.5828779599271403
,0.01,,5.0,0.5875912408759124
,0.1,,1.0,0.9092558983666061
,0.1,,2.0,0.9092558983666061
,0.1,,3.0,0.9052823315118397
,0.1,,4.0,0.9198542805100182
,0.1,,5.0,0.927007299270073
,1.0,,1.0,0.9074410163339383
,1.0,,2.0,0.9219600725952813
,1.0,,3.0,0.907103825136612
,1.0,,4.0,0.9344262295081968
,1.0,,5.0,0.9416058394160584
,10.0,,1.0,0.9019963702359347
,10.0,,2.0,0.9201451905626135
,10.0,,3.0,0.9216757741347905
,10.0,,4.0,0.9253187613843351
,10.0,,5.0,0.9178832116788321
,100.0,,1.0,0.9147005444646098
,100.0,,2.0,0.925589836660617
,100.0,,3.0,0.9143897996357013
,100.0,,4.0,0.9253187613843351
,100.0,,5.0,0.9142335766423357
,1000.0,,1.0,0.9183303085299456
,1000.0,,2.0,0.9183303085299456
,1000.0,,3.0,0.8961748633879781
,1000.0,,4.0,0.912568306010929
,1000.0,,5.0,0.9014598540145985
,10000.0,,1.0,0.9056261343012704
,10000.0,,2.0,0.911070780399274
,10000.0,,3.0,0.8888888888888888
,10000.0,,4.0,0.9107468123861566
,10000.0,,5.0,0.9051094890510949
