,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs,dropout_input,dropout_hidden
0,10206.835280999192,10295.777175377156,100,20,0.01,150,150,0,0
1,9964.301113945705,10048.01475787985,100,20,0.01,150,150,0,0
2,9922.537439731073,9978.399515086207,100,20,0.01,150,150,0,0
3,9901.87796665369,9947.904338968212,100,20,0.01,150,150,0,0
4,9892.234248191931,9936.684620824353,100,20,0.01,150,150,0,0
5,9881.908012211008,9916.010228650322,100,20,0.01,150,150,0,0
6,9874.335142960888,9922.737860317888,100,20,0.01,150,150,0,0
7,9872.122316441812,9921.37368669181,100,20,0.01,150,150,0,0
8,9869.475178841489,9914.502693965518,100,20,0.01,150,150,0,0
9,9865.232327353857,9901.768150592672,100,20,0.01,150,150,0,0
10,9863.147732802767,9889.470231681034,100,20,0.01,150,150,0,0
11,9861.377027993232,9897.758359711746,100,20,0.01,150,150,0,0
12,9860.877865581577,9885.602320177803,100,20,0.01,150,150,0,0
13,9858.869105998443,9883.97386011584,100,20,0.01,150,150,0,0
14,9856.760358019885,9876.317424905712,100,20,0.01,150,150,0,0
15,9856.53390033541,9887.339826912716,100,20,0.01,150,150,0,0
16,9853.177886451096,9879.992254849138,100,20,0.01,150,150,0,0
17,9852.224293524647,9874.588050579203,100,20,0.01,150,150,0,0
18,9851.991385941992,9881.595804148707,100,20,0.01,150,150,0,0
19,9851.728555398748,9890.63795629041,100,20,0.01,150,150,0,0
20,9852.001724308966,9874.122878502156,100,20,0.01,150,150,0,0
21,9850.111476457685,9877.68765153556,100,20,0.01,150,150,0,0
22,9848.339991146831,9875.419989224138,100,20,0.01,150,150,0,0
23,9848.15922320466,9879.753813644935,100,20,0.01,150,150,0,0
24,9849.182699542554,9871.149422481143,100,20,0.01,150,150,0,0
25,9847.494124247574,9868.535913927803,100,20,0.01,150,150,0,0
26,9845.422246065675,9868.56910863416,100,20,0.01,150,150,0,0
27,9847.097919692591,9867.71443123653,100,20,0.01,150,150,0,0
28,9847.149613399168,9876.492692618534,100,20,0.01,150,150,0,0
29,9844.376165136859,9871.702443089978,100,20,0.01,150,150,0,0
30,9844.14392247769,9871.914079337284,100,20,0.01,150,150,0,0
31,9844.387160940494,9867.478768184268,100,20,0.01,150,150,0,0
32,9844.421328461907,9864.456837621228,100,20,0.01,150,150,0,0
33,9842.350254645573,9869.957132273707,100,20,0.01,150,150,0,0
34,9844.123360385722,9876.725409146013,100,20,0.01,150,150,0,0
35,9842.412532380511,9870.495302397629,100,20,0.01,150,150,0,0
36,9843.02733860281,9870.13728279903,100,20,0.01,150,150,0,0
37,9841.981712498502,9863.432524582435,100,20,0.01,150,150,0,0
38,9841.655744171509,9869.730603448275,100,20,0.01,150,150,0,0
39,9842.635525069627,9871.517536031788,100,20,0.01,150,150,0,0
40,9842.351591043513,9861.242372710129,100,20,0.01,150,150,0,0
41,9842.040309056061,9864.083437163254,100,20,0.01,150,150,0,0
42,9840.829217140334,9859.592613483297,100,20,0.01,150,150,0,0
43,9840.733475177438,9859.739451441272,100,20,0.01,150,150,0,0
44,9840.031922410308,9864.089422817888,100,20,0.01,150,150,0,0
45,9839.998089456307,9865.610023235453,100,20,0.01,150,150,0,0
46,9841.799046178725,9867.774574016703,100,20,0.01,150,150,0,0
47,9841.308567546119,9865.737144733297,100,20,0.01,150,150,0,0
48,9837.891045197952,9860.415990369072,100,20,0.01,150,150,0,0
49,9840.561234258954,9861.919374663254,100,20,0.01,150,150,0,0
50,9839.16372372125,9861.358861462822,100,20,0.01,150,150,0,0
51,9838.013274605444,9855.189360519935,100,20,0.01,150,150,0,0
52,9839.356008269197,9866.690623316272,100,20,0.01,150,150,0,0
53,9838.466350941093,9861.727656923491,100,20,0.01,150,150,0,0
54,9838.593273182949,9866.149296201509,100,20,0.01,150,150,0,0
55,9838.213899006498,9863.407437028556,100,20,0.01,150,150,0,0
56,9838.207116412614,9858.935420595366,100,20,0.01,150,150,0,0
57,9836.287838872335,9860.091847386853,100,20,0.01,150,150,0,0
58,9836.401428485864,9858.45188745959,100,20,0.01,150,150,0,0
59,9836.813906118981,9862.440522292565,100,20,0.01,150,150,0,0
60,9837.164919741255,9861.836400525322,100,20,0.01,150,150,0,0
61,9837.264032178366,9861.734046672953,100,20,0.01,150,150,0,0
62,9836.039815861584,9858.267359240303,100,20,0.01,150,150,0,0
63,9835.29287656849,9857.630539466594,100,20,0.01,150,150,0,0
64,9836.932320990058,9854.89723363416,100,20,0.01,150,150,0,0
65,9836.200824673575,9859.681295460668,100,20,0.01,150,150,0,0
66,9837.09736098841,9858.568191002156,100,20,0.01,150,150,0,0
67,9837.861869515902,9859.077821928879,100,20,0.01,150,150,0,0
68,9836.590498379102,9857.925309806034,100,20,0.01,150,150,0,0
69,9835.538581003684,9864.290704135237,100,20,0.01,150,150,0,0
70,9837.074857469603,9858.581021012931,100,20,0.01,150,150,0,0
71,9837.539941265872,9858.773858432112,100,20,0.01,150,150,0,0
72,9834.65173638147,9856.703377559268,100,20,0.01,150,150,0,0
73,9835.880194919442,9858.463319975754,100,20,0.01,150,150,0,0
74,9835.429155467627,9859.735671470906,100,20,0.01,150,150,0,0
75,9834.707032185854,9854.574193494072,100,20,0.01,150,150,0,0
76,9834.51400129522,9855.74781957166,100,20,0.01,150,150,0,0
77,9835.163536082744,9857.714978448275,100,20,0.01,150,150,0,0
78,9836.32051277252,9860.69711408944,100,20,0.01,150,150,0,0
79,9836.513117850083,9864.070261988147,100,20,0.01,150,150,0,0
80,9834.512791705349,9853.243029364225,100,20,0.01,150,150,0,0
81,9834.950771797885,9859.216443292025,100,20,0.01,150,150,0,0
82,9834.952368830858,9859.423701845366,100,20,0.01,150,150,0,0
83,9834.990574089603,9853.556699555496,100,20,0.01,150,150,0,0
84,9834.282421219903,9857.172228582975,100,20,0.01,150,150,0,0
85,9834.109293112871,9854.975577518857,100,20,0.01,150,150,0,0
86,9835.1184948865,9860.786419046337,100,20,0.01,150,150,0,0
87,9836.144100757667,9862.942778488685,100,20,0.01,150,150,0,0
88,9833.964790406384,9858.142409752156,100,20,0.01,150,150,0,0
89,9833.92682893732,9853.618147225216,100,20,0.01,150,150,0,0
90,9834.59513506229,9857.894396551725,100,20,0.01,150,150,0,0
91,9834.143237901293,9855.34055933459,100,20,0.01,150,150,0,0
92,9834.095055046868,9862.537143049569,100,20,0.01,150,150,0,0
93,9833.547418262608,9857.412176724138,100,20,0.01,150,150,0,0
94,9833.868760668724,9856.26866412985,100,20,0.01,150,150,0,0
95,9834.542674424263,9853.418978987069,100,20,0.01,150,150,0,0
96,9834.449672638655,9862.16560311153,100,20,0.01,150,150,0,0
97,9833.516061107452,9863.045166015625,100,20,0.01,150,150,0,0
98,9833.96251488006,9853.504950161638,100,20,0.01,150,150,0,0
99,9833.889571697562,9854.461543642241,100,20,0.01,150,150,0,0
100,9834.301556604127,9861.73193359375,100,20,0.01,150,150,0,0
101,9833.194266216458,9855.707174366918,100,20,0.01,150,150,0,0
102,9831.93125973287,9858.470576845366,100,20,0.01,150,150,0,0
103,9833.341187166836,9852.188106142241,100,20,0.01,150,150,0,0
104,9833.132192497455,9857.438569167565,100,20,0.01,150,150,0,0
105,9832.976256476102,9855.997306034482,100,20,0.01,150,150,0,0
106,9833.515057873143,9856.238937904094,100,20,0.01,150,150,0,0
107,9833.509835346042,9853.891231142241,100,20,0.01,150,150,0,0
108,9834.242098593975,9852.36970467403,100,20,0.01,150,150,0,0
109,9832.657883531236,9854.699875404094,100,20,0.01,150,150,0,0
110,9832.384702922856,9854.993963833513,100,20,0.01,150,150,0,0
111,9831.76546824464,9857.750606142241,100,20,0.01,150,150,0,0
112,9833.905718435553,9856.9251835264,100,20,0.01,150,150,0,0
113,9833.750822146772,9855.712713833513,100,20,0.01,150,150,0,0
114,9831.242355017668,9854.600274447737,100,20,0.01,150,150,0,0
115,9832.253602565734,9854.28076171875,100,20,0.01,150,150,0,0
116,9832.166314630002,9854.253224339978,100,20,0.01,150,150,0,0
117,9832.079871769436,9856.377247777478,100,20,0.01,150,150,0,0
118,9833.141231432679,9856.31813207166,100,20,0.01,150,150,0,0
119,9832.994782620088,9853.043633822737,100,20,0.01,150,150,0,0
120,9832.01002532418,9855.19351091056,100,20,0.01,150,150,0,0
121,9833.366407934534,9852.248998181572,100,20,0.01,150,150,0,0
122,9832.897764621766,9856.801101158406,100,20,0.01,150,150,0,0
123,9832.413548248833,9854.32298120959,100,20,0.01,150,150,0,0
124,9832.61007080663,9858.007408405172,100,20,0.01,150,150,0,0
125,9832.54923007382,9855.174585802803,100,20,0.01,150,150,0,0
126,9832.017257127456,9850.53361563847,100,20,0.01,150,150,0,0
127,9831.17529086308,9857.206399851832,100,20,0.01,150,150,0,0
128,9832.788307734638,9854.132989291487,100,20,0.01,150,150,0,0
129,9831.829807663513,9851.511432516163,100,20,0.01,150,150,0,0
130,9830.898820263836,9852.892401333513,100,20,0.01,150,150,0,0
131,9830.41530531265,9855.378476899246,100,20,0.01,150,150,0,0
132,9830.716369658152,9852.28312735722,100,20,0.01,150,150,0,0
133,9831.462234592118,9852.330389614763,100,20,0.01,150,150,0,0
134,9830.882681012668,9850.296656115303,100,20,0.01,150,150,0,0
135,9832.780301513087,9858.207351158406,100,20,0.01,150,150,0,0
136,9832.557254544501,9854.490705818966,100,20,0.01,150,150,0,0
137,9832.111961229486,9852.474474676725,100,20,0.01,150,150,0,0
138,9831.264326036176,9849.91072029903,100,20,0.01,150,150,0,0
139,9831.479574542554,9854.527284819504,100,20,0.01,150,150,0,0
140,9830.003336315585,9855.033161031788,100,20,0.01,150,150,0,0
141,9831.450269244879,9853.532437028556,100,20,0.01,150,150,0,0
142,9830.930135305613,9852.966182314116,100,20,0.01,150,150,0,0
143,9829.993223957086,9849.3148319639,100,20,0.01,150,150,0,0
144,9829.889888483769,9851.562382139009,100,20,0.01,150,150,0,0
145,9830.018883639794,9847.734004579741,100,20,0.01,150,150,0,0
146,9829.59438778375,9852.561548693428,100,20,0.01,150,150,0,0
147,9831.05832890363,9854.427784886853,100,20,0.01,150,150,0,0
148,9830.64982256229,9850.021610654634,100,20,0.01,150,150,0,0
149,9830.154818612991,9849.921302532328,100,20,0.01,150,150,0,0
