,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,10649.507574793364,25468.115470096982,100,20,0.001,150,75
1,10154.720792498953,10192.157100282866,100,20,0.001,150,75
2,10086.3770822727,10071.28628434806,100,20,0.001,150,75
3,10046.589662194538,10036.192323882004,100,20,0.001,150,75
4,10016.845329251766,10003.121371565194,100,20,0.001,150,75
5,9994.741101910637,9986.820632408406,100,20,0.001,150,75
6,9978.333339572353,9968.857969086746,100,20,0.001,150,75
7,9963.361825530816,9960.941136853447,100,20,0.001,150,75
8,9951.348606140693,9938.351756128772,100,20,0.001,150,75
9,9943.104715388416,9935.679056101832,100,20,0.001,150,75
10,9934.859973945855,9925.629529229525,100,20,0.001,150,75
11,9927.97255751752,9927.243702855603,100,20,0.001,150,75
12,9920.63110971565,9914.26742658944,100,20,0.001,150,75
13,9913.638925959061,9906.685277478447,100,20,0.001,150,75
14,9909.789960918783,9903.643419989225,100,20,0.001,150,75
15,9904.254301179923,9899.41492962015,100,20,0.001,150,75
16,9901.255733034859,9893.213766163793,100,20,0.001,150,75
17,9897.28943029019,9887.648109172953,100,20,0.001,150,75
18,9892.851519450767,9893.644834321121,100,20,0.001,150,75
19,9889.861147037464,9888.111622777478,100,20,0.001,150,75
20,9888.06043878399,9881.313417632004,100,20,0.001,150,75
21,9884.546562893058,9876.171437230603,100,20,0.001,150,75
22,9882.952162007366,9874.02873282597,100,20,0.001,150,75
23,9880.907541944927,9875.310462688578,100,20,0.001,150,75
24,9879.03560967073,9872.717756600216,100,20,0.001,150,75
25,9877.259645367902,9875.368744948815,100,20,0.001,150,75
26,9876.44910130046,9871.976276266163,100,20,0.001,150,75
27,9873.395353396772,9871.16380152209,100,20,0.001,150,75
28,9873.790221553816,9866.247684873384,100,20,0.001,150,75
29,9871.550094333972,9866.081559806034,100,20,0.001,150,75
30,9869.975397363141,9865.13893285291,100,20,0.001,150,75
31,9870.700997338434,9861.768866177263,100,20,0.001,150,75
32,9867.574081179624,9860.043297077047,100,20,0.001,150,75
33,9867.863753387788,9864.00416722791,100,20,0.001,150,75
34,9866.999326185913,9860.03541722791,100,20,0.001,150,75
35,9865.336155085799,9859.071760506466,100,20,0.001,150,75
36,9865.237020656145,9857.357480805496,100,20,0.001,150,75
37,9864.13614413632,9857.338698814656,100,20,0.001,150,75
38,9863.958815921478,9857.082797346444,100,20,0.001,150,75
39,9863.557355148689,9858.540813577587,100,20,0.001,150,75
40,9862.48695140303,9860.776661839978,100,20,0.001,150,75
41,9861.754054582685,9856.736681707975,100,20,0.001,150,75
42,9861.130907571423,9859.667623585668,100,20,0.001,150,75
43,9860.30126882936,9855.732472386853,100,20,0.001,150,75
44,9860.294883972958,9853.312617860991,100,20,0.001,150,75
45,9859.938383445136,9856.027924636315,100,20,0.001,150,75
46,9859.780166282342,9851.100493332435,100,20,0.001,150,75
47,9858.666670254102,9852.290923019935,100,20,0.001,150,75
48,9858.831691535397,9855.240040746228,100,20,0.001,150,75
49,9857.192934029857,9850.994586813038,100,20,0.001,150,75
50,9857.279147606463,9854.180765086207,100,20,0.001,150,75
51,9856.523649470682,9855.94444537985,100,20,0.001,150,75
52,9856.298100967297,9850.868408203125,100,20,0.001,150,75
53,9856.04163094828,9848.119384765625,100,20,0.001,150,75
54,9856.400068223676,9849.118248248922,100,20,0.001,150,75
55,9856.666849002006,9850.595846241918,100,20,0.001,150,75
56,9856.18736944852,9852.435277478447,100,20,0.001,150,75
57,9854.882751669562,9851.157428609913,100,20,0.001,150,75
58,9854.209664740058,9846.315059267241,100,20,0.001,150,75
59,9855.21648055672,9849.2470703125,100,20,0.001,150,75
60,9854.71956840336,9847.094398235453,100,20,0.001,150,75
61,9854.095362006618,9847.959001212284,100,20,0.001,150,75
62,9853.501161861373,9849.20778050916,100,20,0.001,150,75
63,9853.492463576606,9853.350072400322,100,20,0.001,150,75
64,9853.362425412524,9845.262535358297,100,20,0.001,150,75
65,9853.09372753953,9847.852379108297,100,20,0.001,150,75
66,9852.625108558936,9845.431926858837,100,20,0.001,150,75
67,9853.051272572771,9846.671807650862,100,20,0.001,150,75
68,9851.708698471939,9845.066120016163,100,20,0.001,150,75
69,9852.441375366854,9846.318872912178,100,20,0.001,150,75
70,9851.318513322802,9845.65388436153,100,20,0.001,150,75
71,9851.386188121407,9847.84776569235,100,20,0.001,150,75
72,9852.456630704959,9846.339397561962,100,20,0.001,150,75
73,9850.657102094065,9845.319428542565,100,20,0.001,150,75
74,9850.806340216219,9846.563426050647,100,20,0.001,150,75
