,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.800000011920929,0.84588957,300,100,50,100,0.001,0,0
1,2,0.8220859169960022,0.84588957,300,100,50,100,0.001,0,0
2,3,0.8834356069564819,0.84588957,300,100,50,100,0.001,0,0
3,4,0.8650306463241577,0.84588957,300,100,50,100,0.001,0,0
4,5,0.8588957190513611,0.84588957,300,100,50,100,0.001,0,0
