,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8484848737716675,0.8752184,300,100,50,100,0.001,0.8,0.6
1,2,0.8466257452964783,0.8752184,300,100,50,100,0.001,0.8,0.6
2,3,0.9141104221343994,0.8752184,300,100,50,100,0.001,0.8,0.6
3,4,0.8895705342292786,0.8752184,300,100,50,100,0.001,0.8,0.6
4,5,0.8773006200790405,0.8752184,300,100,50,100,0.001,0.8,0.6
