,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.800000011920929,0.8360736,100,20,200,100,0.01,0,0.2
1,2,0.8588957190513611,0.8360736,100,20,200,100,0.01,0,0.2
2,3,0.8588957190513611,0.8360736,100,20,200,100,0.01,0,0.2
3,4,0.8711656332015991,0.8360736,100,20,200,100,0.01,0,0.2
4,5,0.7914110422134399,0.8360736,100,20,200,100,0.01,0,0.2
