,val_loss,loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,10090.931682718212,10116.779939338016,100,100,0.001,50,75
1,9953.274590853987,9904.970174836038,100,100,0.001,50,75
2,9900.147284146013,9870.788015748532,100,100,0.001,50,75
3,9870.128948343212,9853.379565558367,100,100,0.001,50,75
4,9874.969701306572,9842.991846381618,100,100,0.001,50,75
5,9868.981268521013,9835.494690438578,100,100,0.001,50,75
6,9847.804594894935,9830.49141121002,100,100,0.001,50,75
7,9839.453941608297,9826.70655817636,100,100,0.001,50,75
8,9836.127500336746,9821.703312638507,100,100,0.001,50,75
9,9830.075734105603,9817.517769506918,100,100,0.001,50,75
10,9838.269623855065,9813.297713992124,100,100,0.001,50,75
11,9826.225484913793,9810.44532700572,100,100,0.001,50,75
12,9816.527958310884,9807.061967967627,100,100,0.001,50,75
13,9814.8841679014,9803.368246417554,100,100,0.001,50,75
14,9819.943611934268,9800.197448116316,100,100,0.001,50,75
15,9809.7249882139,9797.667226150725,100,100,0.001,50,75
16,9811.01123046875,9794.256019873772,100,100,0.001,50,75
17,9803.32575936153,9791.62406695466,100,100,0.001,50,75
18,9798.749873720366,9789.255534166117,100,100,0.001,50,75
19,9800.762880522629,9787.18253951171,100,100,0.001,50,75
20,9796.031519396553,9784.680561118681,100,100,0.001,50,75
21,9798.992271686422,9783.411972740476,100,100,0.001,50,75
22,9795.087090853987,9780.965852599425,100,100,0.001,50,75
23,9797.129158809268,9780.3938129829,100,100,0.001,50,75
24,9799.749806371228,9777.720018548604,100,100,0.001,50,75
25,9787.033792429957,9777.082934815973,100,100,0.001,50,75
26,9783.640406115303,9775.423019080168,100,100,0.001,50,75
27,9781.686001481681,9774.237194256857,100,100,0.001,50,75
28,9786.763528758082,9773.952700590711,100,100,0.001,50,75
29,9784.727252828663,9772.718298450976,100,100,0.001,50,75
30,9787.121337890625,9771.559269903719,100,100,0.001,50,75
31,9776.33860620959,9770.668710413422,100,100,0.001,50,75
32,9783.753864156788,9769.77171225518,100,100,0.001,50,75
33,9781.66586408944,9769.190124599454,100,100,0.001,50,75
34,9781.676092739763,9768.63183312994,100,100,0.001,50,75
35,9778.435791015625,9768.135001927856,100,100,0.001,50,75
36,9776.9088008486,9767.70504256259,100,100,0.001,50,75
37,9777.008022966056,9767.148766452294,100,100,0.001,50,75
38,9784.609812769397,9766.450237425881,100,100,0.001,50,75
39,9773.535299366918,9765.515892186002,100,100,0.001,50,75
40,9779.269388133082,9765.53294623338,100,100,0.001,50,75
41,9776.177557583513,9765.012255461637,100,100,0.001,50,75
42,9775.45207266972,9764.67198168723,100,100,0.001,50,75
43,9774.553323679957,9764.078279415728,100,100,0.001,50,75
44,9773.648403825431,9763.999176917376,100,100,0.001,50,75
45,9778.430184199893,9764.00392356328,100,100,0.001,50,75
46,9770.813771214978,9763.204900780876,100,100,0.001,50,75
47,9773.252954943428,9763.086623948102,100,100,0.001,50,75
48,9771.758544921875,9762.135915788213,100,100,0.001,50,75
49,9772.225417564656,9762.014607259973,100,100,0.001,50,75
50,9770.647393588362,9762.20262946589,100,100,0.001,50,75
51,9768.872701710668,9761.536815985117,100,100,0.001,50,75
52,9769.197652882543,9761.151062099454,100,100,0.001,50,75
53,9770.855064655172,9760.978955007937,100,100,0.001,50,75
54,9770.510085533406,9760.657674368113,100,100,0.001,50,75
55,9769.367128569504,9760.444231121975,100,100,0.001,50,75
56,9770.2738163389,9760.233810212776,100,100,0.001,50,75
57,9767.412580818966,9759.71468699464,100,100,0.001,50,75
58,9769.388949690194,9759.337848511619,100,100,0.001,50,75
59,9768.469920191272,9759.52903717582,100,100,0.001,50,75
60,9767.335886988147,9759.456243261859,100,100,0.001,50,75
61,9767.088202114763,9759.097539268387,100,100,0.001,50,75
62,9765.265599744072,9758.442346782163,100,100,0.001,50,75
63,9777.97667194235,9758.358626785608,100,100,0.001,50,75
64,9765.752340382543,9758.141632445646,100,100,0.001,50,75
65,9767.89208984375,9758.147522703792,100,100,0.001,50,75
66,9765.205482219828,9758.16532636934,100,100,0.001,50,75
67,9768.204067887931,9757.962428781595,100,100,0.001,50,75
68,9768.8671875,9757.740506708193,100,100,0.001,50,75
69,9766.885001346982,9757.62205580678,100,100,0.001,50,75
70,9764.336779364225,9757.1496405389,100,100,0.001,50,75
71,9765.100897427263,9757.051539758775,100,100,0.001,50,75
72,9765.026754445043,9756.759329985476,100,100,0.001,50,75
73,9762.002963362069,9756.997455883895,100,100,0.001,50,75
74,9765.869847790947,9756.530938828912,100,100,0.001,50,75
