,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate
0,1,0.6624319553375244,0.8297982,300,100,50,100,0.001
1,2,0.8874773383140564,0.8297982,300,100,50,100,0.001
2,3,0.8652094602584839,0.8297982,300,100,50,100,0.001
3,4,0.8378870487213135,0.8297982,300,100,50,100,0.001
4,5,0.8959854245185852,0.8297982,300,100,50,100,0.001
