,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.862500011920929,0.8762976,300,100,200,100,0.01,0.5,0.2
1,2,0.8544303774833679,0.8762976,300,100,200,100,0.01,0.5,0.2
2,3,0.8734177350997925,0.8762976,300,100,200,100,0.01,0.5,0.2
3,4,0.9303797483444214,0.8762976,300,100,200,100,0.01,0.5,0.2
4,5,0.8607594966888428,0.8762976,300,100,200,100,0.01,0.5,0.2
