,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8500000238418579,0.82443035,130,10,200,100,0.01,0.4,0.6
1,2,0.7721518874168396,0.82443035,130,10,200,100,0.01,0.4,0.6
2,3,0.7341772317886353,0.82443035,130,10,200,100,0.01,0.4,0.6
3,4,0.8607594966888428,0.82443035,130,10,200,100,0.01,0.4,0.6
4,5,0.905063271522522,0.82443035,130,10,200,100,0.01,0.4,0.6
