,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_cvae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.856249988079071,0.8193512,130,10,200,100,0.01,0.4,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8354430198669434,0.8193512,130,10,200,100,0.01,0.4,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.8101266026496887,0.8193512,130,10,200,100,0.01,0.4,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.7911392450332642,0.8193512,130,10,200,100,0.01,0.4,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.8037974834442139,0.8193512,130,10,200,100,0.01,0.4,0.2,True,False,False,categorical_crossentropy,binary_crossentropy
