,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8500000238418579,0.78645575,0,100,50,100,0.0005,0,0
1,2,0.8291139006614685,0.78645575,0,100,50,100,0.0005,0,0
2,3,0.6139240264892578,0.78645575,0,100,50,100,0.0005,0,0
3,4,0.8734177350997925,0.78645575,0,100,50,100,0.0005,0,0
4,5,0.7658227682113647,0.78645575,0,100,50,100,0.0005,0,0
