,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.8260869383811951,0.75432426,300,100,50,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.7727272510528564,0.75432426,300,100,50,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.550000011920929,0.75432426,300,100,50,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.7894737124443054,0.75432426,300,100,50,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.8333333134651184,0.75432426,300,100,50,100,0.001,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
