,val_loss,loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,10160.275138065732,10347.852849765663,100,100,0.001,100,50
1,10029.891433189656,10013.978148302736,100,100,0.001,100,50
2,9973.327737742457,9961.778734895333,100,100,0.001,100,50
3,9960.480637122844,9933.403604811781,100,100,0.001,100,50
4,9937.944201239225,9916.949761544682,100,100,0.001,100,50
5,9919.093042834053,9903.506628178156,100,100,0.001,100,50
6,9932.922497979525,9894.661353673784,100,100,0.001,100,50
7,9898.022511449353,9887.532653779348,100,100,0.001,100,50
8,9897.440598060344,9881.76953920475,100,100,0.001,100,50
9,9892.403859105603,9876.5437188361,100,100,0.001,100,50
10,9888.888133081897,9873.119525728467,100,100,0.001,100,50
11,9880.468093345906,9869.185927299204,100,100,0.001,100,50
12,9881.115655307112,9866.01268080678,100,100,0.001,100,50
13,9871.432751885775,9863.522972849036,100,100,0.001,100,50
14,9877.911503232759,9860.784761320077,100,100,0.001,100,50
15,9874.30532731681,9858.490903509823,100,100,0.001,100,50
16,9862.89926252694,9857.293672979307,100,100,0.001,100,50
17,9868.388941271553,9855.349828832504,100,100,0.001,100,50
18,9862.307650862069,9854.216163770514,100,100,0.001,100,50
19,9857.791705953663,9851.331379896383,100,100,0.001,100,50
20,9860.878013873922,9850.021307030876,100,100,0.001,100,50
21,9861.17349137931,9848.952309404198,100,100,0.001,100,50
22,9856.723599137931,9847.91455803411,100,100,0.001,100,50
23,9854.564975080819,9846.908016422347,100,100,0.001,100,50
24,9856.554923221982,9846.215768840591,100,100,0.001,100,50
25,9853.138368803879,9845.36499339288,100,100,0.001,100,50
26,9850.12582502694,9843.553600038931,100,100,0.001,100,50
27,9850.574538658406,9842.959289930972,100,100,0.001,100,50
28,9855.320009428879,9842.13477357975,100,100,0.001,100,50
29,9847.428357354525,9841.404606642309,100,100,0.001,100,50
30,9847.341375942888,9840.148728082326,100,100,0.001,100,50
31,9849.864325161638,9839.058618550102,100,100,0.001,100,50
32,9846.144766971982,9838.231075182679,100,100,0.001,100,50
33,9843.235065328663,9837.237711783511,100,100,0.001,100,50
34,9844.74398908944,9837.11376742558,100,100,0.001,100,50
35,9849.335769127156,9836.159076275755,100,100,0.001,100,50
36,9841.83804216056,9835.809668577054,100,100,0.001,100,50
37,9843.658169450431,9834.33248186317,100,100,0.001,100,50
38,9839.190210802803,9833.901005480355,100,100,0.001,100,50
39,9839.786806303879,9833.62304406744,100,100,0.001,100,50
40,9839.067803744612,9832.408598990776,100,100,0.001,100,50
41,9842.843463766163,9832.679218169771,100,100,0.001,100,50
42,9842.475114493534,9831.660181050102,100,100,0.001,100,50
43,9839.570026266163,9831.695132816243,100,100,0.001,100,50
44,9837.461105872844,9830.721175730714,100,100,0.001,100,50
45,9840.480115167025,9830.167182633564,100,100,0.001,100,50
46,9838.794080010775,9830.061081247006,100,100,0.001,100,50
47,9838.804266567888,9828.811691891022,100,100,0.001,100,50
48,9834.996800915947,9829.13088838644,100,100,0.001,100,50
49,9833.906485721982,9828.653449928126,100,100,0.001,100,50
