,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate
0,1,0.793749988079071,0.82583857,300,100,50,100,0.001
1,2,0.797468364238739,0.82583857,300,100,50,100,0.001
2,3,0.8670886158943176,0.82583857,300,100,50,100,0.001
3,4,0.8417721390724182,0.82583857,300,100,50,100,0.001
4,5,0.8291139006614685,0.82583857,300,100,50,100,0.001
