,loss,val_loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,11747.78756653914,12270.255926724138,0,20,0.0005,200,100
1,11263.497631824239,11046.647561961207,0,20,0.0005,200,100
2,10947.59960142025,10996.947804418103,0,20,0.0005,200,100
3,10713.78343381274,10430.582570043103,0,20,0.0005,200,100
4,10569.549141635722,10634.373316271553,0,20,0.0005,200,100
5,10464.357703566722,10340.18490705819,0,20,0.0005,200,100
6,10383.324700246316,10275.107489224138,0,20,0.0005,200,100
7,10322.393808771561,10495.350417564656,0,20,0.0005,200,100
8,10274.320789317051,10201.143083243534,0,20,0.0005,200,100
9,10243.911291439566,10242.930529364225,0,20,0.0005,200,100
10,10214.062250127276,10195.435277478447,0,20,0.0005,200,100
11,10192.617457961487,10256.164769665947,0,20,0.0005,200,100
12,10173.248137184804,10176.84146012931,0,20,0.0005,200,100
13,10157.651078008954,10130.346511314656,0,20,0.0005,200,100
14,10143.45099921014,10219.065160290947,0,20,0.0005,200,100
15,10131.937627275995,10101.933088631466,0,20,0.0005,200,100
16,10123.269641212715,10131.526872306034,0,20,0.0005,200,100
17,10111.378776634374,10085.6689453125,0,20,0.0005,200,100
18,10103.540005839723,10075.756162446121,0,20,0.0005,200,100
19,10093.936848178457,10071.548659752156,0,20,0.0005,200,100
20,10086.429478804803,10071.646046605603,0,20,0.0005,200,100
21,10081.154357237512,10086.633822737069,0,20,0.0005,200,100
22,10070.970074231853,10056.712991648707,0,20,0.0005,200,100
23,10067.021984120449,10051.887459590518,0,20,0.0005,200,100
24,10062.040503245538,10053.018958782328,0,20,0.0005,200,100
25,10056.774366334002,10049.449690193966,0,20,0.0005,200,100
26,10051.645574725982,10040.027848868534,0,20,0.0005,200,100
27,10048.29333232885,10057.173693426725,0,20,0.0005,200,100
28,10044.196162254431,10042.69009294181,0,20,0.0005,200,100
29,10039.051149976041,10051.242120150862,0,20,0.0005,200,100
30,10035.292977172676,10022.056808997844,0,20,0.0005,200,100
31,10034.139561871107,10021.766870959053,0,20,0.0005,200,100
32,10029.435413515961,10011.275862068966,0,20,0.0005,200,100
33,10025.646350548035,10021.348902209053,0,20,0.0005,200,100
34,10021.871876123023,10025.497743803879,0,20,0.0005,200,100
35,10021.748109577144,10005.58627424569,0,20,0.0005,200,100
36,10016.378861796988,10007.605502424569,0,20,0.0005,200,100
37,10015.118484124192,9998.35317887931,0,20,0.0005,200,100
38,10012.179131135452,10000.662951239225,0,20,0.0005,200,100
39,10008.57101766516,10022.666116648707,0,20,0.0005,200,100
40,10006.219451421748,10002.8642578125,0,20,0.0005,200,100
41,10004.122876549773,9992.068123653018,0,20,0.0005,200,100
42,10000.83432970472,9996.026097790947,0,20,0.0005,200,100
43,9999.419814251916,9992.395676185344,0,20,0.0005,200,100
44,9997.895703405757,9988.155475484913,0,20,0.0005,200,100
45,9996.444847849036,9982.508654364225,0,20,0.0005,200,100
46,9993.957538014345,9981.41244612069,0,20,0.0005,200,100
47,9992.487539586578,10006.667362607759,0,20,0.0005,200,100
48,9990.831676093825,9978.42739762931,0,20,0.0005,200,100
49,9987.405163006857,9987.24154768319,0,20,0.0005,200,100
50,9986.37003951171,9975.098531788793,0,20,0.0005,200,100
51,9984.781935044322,10001.76986799569,0,20,0.0005,200,100
52,9984.731020435283,9971.428879310344,0,20,0.0005,200,100
53,9983.051837359997,9973.306135506466,0,20,0.0005,200,100
54,9981.707784611584,9968.118231411638,0,20,0.0005,200,100
55,9980.705598459212,9970.881802262931,0,20,0.0005,200,100
56,9978.698123802109,9972.595130657328,0,20,0.0005,200,100
57,9977.443773957833,9970.977370689656,0,20,0.0005,200,100
58,9975.488140872065,9968.271214978447,0,20,0.0005,200,100
59,9975.513480961008,9973.558560075431,0,20,0.0005,200,100
60,9973.069736950467,9972.353987068966,0,20,0.0005,200,100
61,9972.558261054295,9963.41342268319,0,20,0.0005,200,100
62,9971.608583268448,9976.240503771553,0,20,0.0005,200,100
63,9970.485622491915,9964.242456896553,0,20,0.0005,200,100
64,9968.669925618411,9973.267039331897,0,20,0.0005,200,100
65,9968.226190498473,9961.407967403018,0,20,0.0005,200,100
66,9967.158378597418,9964.629579741379,0,20,0.0005,200,100
67,9966.954420220412,9960.14224137931,0,20,0.0005,200,100
68,9965.40522992034,9958.911233836207,0,20,0.0005,200,100
69,9964.644020742244,9958.553104795259,0,20,0.0005,200,100
70,9963.469749490896,9955.865470096982,0,20,0.0005,200,100
71,9963.128934793513,9953.76528825431,0,20,0.0005,200,100
72,9962.01583977824,9957.541015625,0,20,0.0005,200,100
73,9961.410507662764,9957.226124730603,0,20,0.0005,200,100
74,9960.934459881857,9973.276198814656,0,20,0.0005,200,100
75,9959.747836776025,9951.783405172413,0,20,0.0005,200,100
76,9959.09011655112,9967.419686153018,0,20,0.0005,200,100
77,9959.450375932109,9951.275660021553,0,20,0.0005,200,100
78,9957.921982623084,9954.804822198275,0,20,0.0005,200,100
79,9957.614073449478,9964.723902209053,0,20,0.0005,200,100
80,9956.93271872754,9950.053037446121,0,20,0.0005,200,100
81,9956.924035416418,9953.972218480603,0,20,0.0005,200,100
82,9955.690021655637,9948.092706088362,0,20,0.0005,200,100
83,9954.873296279797,9949.495992726293,0,20,0.0005,200,100
84,9955.125481496316,9952.991446659482,0,20,0.0005,200,100
85,9954.42443830109,9951.226461476293,0,20,0.0005,200,100
