,val_loss,loss,intermediate_dim,latent_dim,learning_rate,batch_size,epochs
0,11020.580886314656,11186.400942310283,0,100,0.0005,200,75
1,10418.701778017241,10404.361256532253,0,100,0.0005,200,75
2,10297.066540948275,10210.657556918573,0,100,0.0005,200,75
3,10252.337048760775,10127.871448906175,0,100,0.0005,200,75
4,10136.08822737069,10080.643742793933,0,100,0.0005,200,75
5,10223.541823814656,10048.419395457744,0,100,0.0005,200,75
6,10096.5556640625,10027.467642418094,0,100,0.0005,200,75
7,10058.831761853447,10011.222518211698,0,100,0.0005,200,75
8,10095.302161907328,9996.345786883834,0,100,0.0005,200,75
9,10015.382307381466,9988.261836667465,0,100,0.0005,200,75
10,10006.261954471982,9979.494366633475,0,100,0.0005,200,75
11,10071.376784752156,9972.327896183966,0,100,0.0005,200,75
12,10022.363382273707,9968.163031658032,0,100,0.0005,200,75
13,9980.212924299569,9962.500187170579,0,100,0.0005,200,75
14,9978.864190463362,9958.105418213943,0,100,0.0005,200,75
15,10025.645002693966,9955.913138345262,0,100,0.0005,200,75
16,10013.5859375,9953.448220662884,0,100,0.0005,200,75
17,9973.804788523707,9950.303603314416,0,100,0.0005,200,75
18,9962.718076508621,9947.416719854307,0,100,0.0005,200,75
19,9991.045494342672,9944.915341342987,0,100,0.0005,200,75
20,9997.093716325431,9945.269508321604,0,100,0.0005,200,75
21,9954.809199892241,9941.532713206007,0,100,0.0005,200,75
22,9959.81118669181,9941.468562829421,0,100,0.0005,200,75
23,9952.801050646553,9938.70521382367,0,100,0.0005,200,75
24,9968.032765355603,9938.433809464093,0,100,0.0005,200,75
25,9966.171571928879,9936.966743999312,0,100,0.0005,200,75
26,9986.14096174569,9935.438173814087,0,100,0.0005,200,75
27,9947.768487338362,9934.17054000584,0,100,0.0005,200,75
28,9944.638301454741,9933.370157429175,0,100,0.0005,200,75
29,9954.815059267241,9933.924651207624,0,100,0.0005,200,75
30,9941.681943696121,9932.203293453522,0,100,0.0005,200,75
31,9945.969187769397,9932.22902706861,0,100,0.0005,200,75
32,9944.766904633621,9931.257250520333,0,100,0.0005,200,75
33,9977.924872036638,9930.035685942741,0,100,0.0005,200,75
34,9949.664230872844,9929.40735430642,0,100,0.0005,200,75
35,9957.38833512931,9928.787456576425,0,100,0.0005,200,75
36,9958.996901939656,9928.270236883085,0,100,0.0005,200,75
37,9935.588597790947,9928.182697670849,0,100,0.0005,200,75
38,9936.52993669181,9926.905421302257,0,100,0.0005,200,75
39,9932.976865571121,9927.308619485955,0,100,0.0005,200,75
40,9932.210466056034,9926.455919924683,0,100,0.0005,200,75
41,9936.854660560344,9925.850813349754,0,100,0.0005,200,75
42,9947.774784482759,9925.885255076066,0,100,0.0005,200,75
43,9942.55990705819,9925.502531014165,0,100,0.0005,200,75
44,9936.47134294181,9925.454760402941,0,100,0.0005,200,75
45,9935.421571928879,9924.70626151099,0,100,0.0005,200,75
46,9935.719861260775,9923.201462457326,0,100,0.0005,200,75
47,9937.675276131466,9924.141040986613,0,100,0.0005,200,75
48,9939.533775592672,9923.775049038692,0,100,0.0005,200,75
49,9935.459422144397,9923.687207545969,0,100,0.0005,200,75
50,9934.292901400862,9922.713752077594,0,100,0.0005,200,75
51,9936.843817349138,9922.983343222179,0,100,0.0005,200,75
52,9932.952552532328,9922.402712008115,0,100,0.0005,200,75
53,9942.354357489225,9921.900683079031,0,100,0.0005,200,75
54,9935.0068359375,9921.4341987789,0,100,0.0005,200,75
55,9941.188678609913,9921.78236881214,0,100,0.0005,200,75
56,9934.286941002156,9921.988136660728,0,100,0.0005,200,75
57,9932.537479795259,9921.107241255391,0,100,0.0005,200,75
58,9945.379748114225,9922.233684340561,0,100,0.0005,200,75
59,9932.248551993534,9921.219782713673,0,100,0.0005,200,75
60,9930.801488415947,9920.5965505398,0,100,0.0005,200,75
61,9929.917901400862,9920.39881324494,0,100,0.0005,200,75
62,9929.381903286638,9920.580030864428,0,100,0.0005,200,75
63,9935.03125,9919.949047020993,0,100,0.0005,200,75
64,9929.210870150862,9920.070127669052,0,100,0.0005,200,75
65,9934.214675377156,9919.972908462356,0,100,0.0005,200,75
66,9930.700431034482,9920.473620178485,0,100,0.0005,200,75
67,9928.531957165947,9920.294650009733,0,100,0.0005,200,75
68,9928.788523706897,9919.005124262549,0,100,0.0005,200,75
69,9932.314756196121,9919.431720172497,0,100,0.0005,200,75
70,9930.956492456897,9918.9929057671,0,100,0.0005,200,75
71,9931.218648976293,9918.589997229876,0,100,0.0005,200,75
72,9933.170359644397,9918.2094850563,0,100,0.0005,200,75
73,9928.097555226293,9917.306196094873,0,100,0.0005,200,75
74,9926.351932920259,9917.971932367782,0,100,0.0005,200,75
