,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.7562500238418579,0.81707275,300,100,50,100,0.001,0,0
1,2,0.8291139006614685,0.81707275,300,100,50,100,0.001,0,0
2,3,0.8101266026496887,0.81707275,300,100,50,100,0.001,0,0
3,4,0.8481012582778931,0.81707275,300,100,50,100,0.001,0,0
4,5,0.8417721390724182,0.81707275,300,100,50,100,0.001,0,0
