,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.862500011920929,0.8737658,300,100,100,100,0.001,0.8,0.2
1,2,0.8417721390724182,0.8737658,300,100,100,100,0.001,0.8,0.2
2,3,0.9177215099334717,0.8737658,300,100,100,100,0.001,0.8,0.2
3,4,0.8797468543052673,0.8737658,300,100,100,100,0.001,0.8,0.2
4,5,0.8670886158943176,0.8737658,300,100,100,100,0.001,0.8,0.2
