,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss
0,1,0.8812500238418579,0.8952373,0,20,50,100,0.001,0.5,0.2,True,False,False,categorical_crossentropy
1,2,0.8670886158943176,0.8952373,0,20,50,100,0.001,0.5,0.2,True,False,False,categorical_crossentropy
2,3,0.9113923907279968,0.8952373,0,20,50,100,0.001,0.5,0.2,True,False,False,categorical_crossentropy
3,4,0.9303797483444214,0.8952373,0,20,50,100,0.001,0.5,0.2,True,False,False,categorical_crossentropy
4,5,0.8860759735107422,0.8952373,0,20,50,100,0.001,0.5,0.2,True,False,False,categorical_crossentropy
