,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.84375,0.8484968,300,100,50,100,0.001,0.2,0.2
1,2,0.7658227682113647,0.8484968,300,100,50,100,0.001,0.2,0.2
2,3,0.8481012582778931,0.8484968,300,100,50,100,0.001,0.2,0.2
3,4,0.9113923907279968,0.8484968,300,100,50,100,0.001,0.2,0.2
4,5,0.8734177350997925,0.8484968,300,100,50,100,0.001,0.2,0.2
