,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_loss
0,1,0.75,0.7816456,300,100,50,100,0.001,0.5,0.2,True,True,categorical_crossentropy
1,2,0.7848101258277893,0.7816456,300,100,50,100,0.001,0.5,0.2,True,True,categorical_crossentropy
2,3,0.7658227682113647,0.7816456,300,100,50,100,0.001,0.5,0.2,True,True,categorical_crossentropy
3,4,0.797468364238739,0.7816456,300,100,50,100,0.001,0.5,0.2,True,True,categorical_crossentropy
4,5,0.8101266026496887,0.7816456,300,100,50,100,0.001,0.5,0.2,True,True,categorical_crossentropy
