,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate
0,1,0.78125,0.84232587,300,100,50,100,0.001
1,2,0.8354430198669434,0.84232587,300,100,50,100,0.001
2,3,0.8417721390724182,0.84232587,300,100,50,100,0.001
3,4,0.905063271522522,0.84232587,300,100,50,100,0.001
4,5,0.8481012582778931,0.84232587,300,100,50,100,0.001
