,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.862500011920929,0.8446519,300,100,50,100,0.001,0.8,0.5
1,2,0.8354430198669434,0.8446519,300,100,50,100,0.001,0.8,0.5
2,3,0.8417721390724182,0.8446519,300,100,50,100,0.001,0.8,0.5
3,4,0.8544303774833679,0.8446519,300,100,50,100,0.001,0.8,0.5
4,5,0.8291139006614685,0.8446519,300,100,50,100,0.001,0.8,0.5
